Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,13.3,13.3,,0.0,,112.4,,53.9%,,14.1%,,25.4%,,19.3,,112.4,,53.9%,,14.1%,,25.4%,,19.3
Utah,22,5,1,+12.4,3,118.9,4,56.9%,21,14.5%,2,28.9%,15,19.3,2,106.5,1,50.0%,30,11.5%,2,23.3%,2,14.9
Milwaukee,16,11,2,+8.4,2,120.2,2,57.8%,7,13.3%,9,27.4%,27,16.6,14,111.8,16,54.1%,23,13.3%,4,23.8%,5,16.0
LA Clippers,20,8,3,+8.3,1,120.5,3,57.4%,4,13.0%,16,25.7%,6,21.4,15,112.3,17,54.3%,15,14.2%,8,24.1%,8,17.9
LA Lakers,21,7,4,+7.9,11,113.8,8,55.1%,25,14.9%,13,26.3%,12,19.9,1,105.9,3,51.6%,11,14.6%,5,23.8%,4,15.8
Brooklyn,16,12,5,+4.7,4,118.8,1,58.5%,22,14.7%,22,23.3%,4,22.1,23,114.1,9,53.2%,28,12.0%,21,26.6%,9,18.4
Denver,15,11,6,+4.3,6,117.1,6,55.7%,8,13.5%,4,28.7%,19,18.1,18,112.8,19,54.9%,10,14.9%,12,24.5%,17,19.8
Phoenix,17,9,7,+4.2,10,113.9,7,55.3%,9,13.7%,23,23.2%,22,17.8,6,109.7,6,52.2%,25,12.8%,9,24.3%,19,20.0
Philadelphia,18,9,8,+2.2,13,112.8,14,54.2%,27,15.7%,6,27.8%,1,24.4,7,110.6,8,53.1%,12,14.6%,17,25.6%,13,18.9
Boston,13,13,9,+1.7,14,112.6,19,53.3%,12,13.9%,7,27.8%,20,18.1,9,110.9,14,54.0%,9,14.9%,15,25.2%,24,21.7
Toronto,12,15,10,+1.6,9,114.2,17,53.8%,11,13.7%,18,25.4%,9,21.1,17,112.7,18,54.7%,1,16.9%,29,27.5%,30,24.6
San Antonio,16,11,11,+1.5,19,111.1,24,51.8%,1,10.9%,25,22.4%,21,17.9,5,109.7,13,53.8%,16,14.1%,6,23.8%,3,15.5
Portland,16,10,12,+1.2,5,117.7,18,53.8%,2,11.3%,12,26.5%,14,19.6,27,116.5,28,55.9%,20,13.5%,11,24.5%,22,20.6
Indiana,14,13,13,+1.1,16,112.4,11,54.6%,5,13.0%,21,23.5%,26,16.7,11,111.3,12,53.5%,8,15.0%,22,26.7%,16,19.6
New York,13,15,14,+0.2,24,108.2,26,51.1%,18,14.3%,11,27.0%,18,18.4,3,108.0,2,50.1%,29,12.0%,13,24.6%,15,19.6
Atlanta,11,15,15,-0.3,17,112.4,22,52.6%,19,14.4%,10,27.4%,2,24.1,16,112.7,7,52.3%,27,12.2%,16,25.2%,23,20.9
Memphis,11,11,16,-0.9,20,110.6,23,52.5%,14,14.2%,5,28.2%,30,15.8,13,111.4,20,55.0%,2,16.4%,20,26.0%,14,19.1
Golden State,14,13,17,-0.9,21,110.4,16,54.0%,16,14.3%,28,21.1%,11,20.1,10,111.3,4,51.9%,13,14.5%,25,27.0%,29,24.6
Houston,11,15,18,-1.2,25,107.7,20,53.1%,26,15.2%,26,22.1%,16,18.5,4,108.9,5,52.1%,7,15.0%,23,26.8%,20,20.1
Charlotte,13,15,19,-1.6,18,111.5,15,54.0%,24,14.8%,14,26.1%,25,17.6,19,113.1,23,55.1%,5,15.3%,28,27.5%,6,16.6
Dallas,13,15,20,-1.9,8,114.7,10,54.7%,3,12.1%,27,22.1%,7,21.4,28,116.5,21,55.1%,19,13.5%,18,25.8%,26,21.8
