Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff
Average,,,13.1,13.1,,,,,,,109.1,,109.1,,
Milwaukee,1,+13.2,24,3,88.9%,69.4,22.9,5,1.1,2,115.1,1,101.9,3,+4.0
Dallas,2,+8.7,17,8,68.0%,61.2,18.6,25,-1.6,1,117.4,14,108.7,1,+5.0
LA Lakers,3,+8.6,24,3,88.9%,61.7,20.3,1,3.7,4,113.0,5,104.4,6,+2.5
Boston,4,+7.4,17,7,70.8%,59.3,17.4,19,-0.4,5,112.1,6,104.6,4,+3.8
Philadelphia,5,+6.0,20,8,71.4%,56.3,19.2,9,0.8,12,110.2,4,104.2,14,+0.3
LA Clippers,6,+5.8,20,8,71.4%,55.6,19.0,6,1.0,9,110.9,8,105.1,8,+2.4
Toronto,7,+5.0,17,8,68.0%,54.1,16.5,10,0.5,18,108.7,2,103.7,5,+3.6
Indiana,8,+5.0,18,9,66.7%,53.9,17.7,14,0.3,15,109.7,7,104.7,9,+2.2
Houston,9,+4.8,17,9,65.4%,52.9,16.8,15,0.2,3,114.1,16,109.3,15,-0.0
Miami,10,+4.7,19,7,73.1%,53.2,16.9,3,2.1,7,111.1,9,106.3,2,+4.1
Denver,11,+4.5,17,8,68.0%,52.8,16.1,8,0.9,19,108.3,3,103.8,17,-0.4
Utah,12,+1.2,15,11,57.7%,44.2,14.0,7,1.0,20,107.8,11,106.6,27,-3.6
Brooklyn,13,+0.7,14,12,53.8%,42.8,13.6,12,0.4,14,109.8,15,109.1,12,+0.3
Phoenix,14,+0.6,11,14,44.0%,42.6,13.0,27,-2.0,10,110.5,17,109.8,7,+2.5
Detroit,15,+0.4,11,15,42.3%,42.0,13.3,29,-2.3,8,111.1,19,110.7,11,+1.9
Oklahoma City,16,+0.2,11,14,44.0%,41.4,12.6,24,-1.6,21,107.7,13,107.5,10,+2.2
Orlando,17,-0.7,12,14,46.2%,39.1,12.4,20,-0.4,24,106.3,12,107.0,16,-0.3
Portland,18,-1.0,10,16,38.5%,38.4,12.2,28,-2.2,11,110.4,20,111.4,22,-2.2
Minnesota,19,-2.0,10,15,40.0%,35.9,10.9,23,-0.9,13,110.0,22,112.0,24,-2.9
Chicago,20,-2.3,10,18,35.7%,34.7,11.9,26,-1.9,28,104.0,10,106.4,21,-1.1
San Antonio,21,-3.3,10,15,40.0%,32.6,9.9,16,0.1,17,108.9,23,112.2,30,-4.8
Sacramento,22,-3.4,12,14,46.2%,32.2,10.2,4,1.8,22,107.2,18,110.6,12,+0.3
Memphis,23,-5.6,9,17,34.6%,26.8,8.5,11,0.5,25,106.0,21,111.6,19,-0.7
New Orleans,24,-5.9,6,21,22.2%,26.5,8.7,30,-2.7,16,109.1,29,115.0,29,-4.4
Charlotte,25,-6.3,12,17,41.4%,25.3,9.0,2,3.0,23,107.1,25,113.5,20,-1.1
Washington,26,-6.4,7,17,29.2%,25.9,7.6,21,-0.6,6,112.0,30,118.4,18,-0.5
Atlanta,27,-9.4,6,21,22.2%,19.0,6.3,18,-0.3,26,105.0,27,114.3,25,-2.9
New York,28,-9.4,6,21,22.2%,18.6,6.1,17,-0.1,30,103.4,24,112.8,28,-3.6
Cleveland,29,-9.9,6,20,23.1%,18.0,5.7,13,0.3,27,104.6,28,114.6,23,-2.8
Golden State,30,-10.4,5,23,17.9%,17.0,5.8,22,-0.8,29,103.7,26,114.1,26,-3.0
