Team,Point Diff Rank,Point Diff,W,L,Win%,Exp W82,Exp W,Win Diff Rank,Win Diff,Offense Rank,Offense,Defense Rank,Defense,Spread Diff Rank,Spread Diff,LAST 2 WEEKS: W,LAST 2 WEEKS: L,LAST 2 WEEKS: Point Diff Rank,LAST 2 WEEKS: Point Diff,LAST 2 WEEKS: Offense Rank,LAST 2 WEEKS: Offense,LAST 2 WEEKS: Defense Rank,LAST 2 WEEKS: Defense,LAST 2 WEEKS: Spread Diff Rank,LAST 2 WEEKS: Spread Diff
Average,,,13.3,13.3,,,,,,,112.4,,112.4,,,3.7,3.7,,,,114.5,,114.5,,
Utah,1,+12.4,22,5,81.5%,67.6,22.3,17,-0.3,3,118.9,2,106.5,2,+3.4,7,0,1,+16.8,6,121.3,1,104.6,2,+7.1
Milwaukee,2,+8.4,16,11,59.3%,60.2,19.8,30,-3.8,2,120.2,14,111.8,15,+0.1,5,3,2,+13.4,1,124.9,8,111.5,8,+3.6
LA Clippers,3,+8.3,20,8,71.4%,59.9,20.4,19,-0.4,1,120.5,15,112.3,10,+1.3,4,3,3,+8.9,2,124.2,16,115.3,17,+0.6
LA Lakers,4,+7.9,21,7,75.0%,60.1,20.5,13,0.5,11,113.8,1,105.9,19,-0.4,6,1,6,+5.2,17,112.7,5,107.5,22,-3.4
Brooklyn,5,+4.7,16,12,57.1%,52.2,17.8,28,-1.8,4,118.8,23,114.1,17,-0.3,3,3,10,+3.3,8,120.4,23,117.0,19,-1.1
Denver,6,+4.3,15,11,57.7%,51.6,16.3,24,-1.3,6,117.1,18,112.8,11,+1.1,3,3,14,+1.9,14,115.4,12,113.4,15,+1.1
Phoenix,7,+4.2,17,9,65.4%,51.5,16.3,10,0.7,10,113.9,6,109.7,9,+1.3,7,1,7,+5.0,9,118.0,11,113.0,12,+1.8
Philadelphia,8,+2.2,18,9,66.7%,46.7,15.4,3,2.6,13,112.8,7,110.6,22,-0.7,3,3,22,-2.5,15,115.3,25,117.8,26,-5.3
Boston,9,+1.7,13,13,50.0%,45.3,14.4,25,-1.4,14,112.6,9,110.9,20,-0.4,3,5,23,-3.1,22,111.0,15,114.2,24,-3.8
