Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,112.4,,96.3,,25.9%,,80.6%,,19.0,,16.8,,110.2
Atlanta,17,112.4,11,97.6,6,27.7%,5,78.9%,4,21.5,4,19.3,15,108.0
Boston,14,112.6,22,94.2,3,29.2%,15,80.1%,18,18.8,11,17.8,25,102.1
Brooklyn,4,118.8,1,104.8,21,24.9%,17,80.8%,21,18.0,20,15.7,12,111.7
Charlotte,18,111.5,19,95.4,13,27.0%,2,78.3%,15,19.5,7,18.5,23,102.8
Chicago,15,112.6,13,97.2,22,24.4%,22,82.2%,9,21.3,19,16.5,2,126.4
Cleveland,30,105.3,30,86.2,5,29.1%,9,79.4%,13,20.2,2,19.7,29,99.1
Dallas,8,114.7,4,101.7,28,22.4%,30,83.3%,27,14.3,27,13.9,27,100.0
Denver,6,117.1,6,100.8,8,27.6%,11,79.5%,10,21.1,6,19.1,17,106.7
Detroit,23,109.1,27,91.1,4,29.1%,20,81.3%,16,19.3,18,16.9,14,111.3
Golden State,21,110.4,8,98.8,27,22.4%,23,82.3%,28,14.2,28,13.2,19,105.0
Houston,25,107.7,23,93.6,25,22.5%,26,82.6%,25,16.0,26,14.1,13,111.4
Indiana,16,112.4,16,96.3,24,23.9%,27,82.6%,20,18.2,25,14.5,3,123.1
LA Clippers,1,120.5,2,104.7,12,27.1%,18,80.9%,12,20.3,17,17.1,8,116.6
LA Lakers,11,113.8,15,96.4,16,26.2%,10,79.5%,5,21.5,16,17.2,4,122.5
Memphis,20,110.6,25,92.3,11,27.2%,8,79.1%,19,18.6,14,17.3,22,103.8
Miami,26,107.5,20,95.3,30,21.1%,25,82.5%,30,12.3,30,11.8,24,102.6
Milwaukee,2,120.2,3,102.1,15,26.4%,1,76.8%,2,22.0,10,18.3,6,118.5
Minnesota,27,106.6,28,91.1,18,25.6%,19,81.1%,17,18.8,15,17.3,18,106.3
New Orleans,7,114.9,17,96.0,2,30.1%,7,79.1%,1,27.3,1,21.9,5,120.4
New York,24,108.2,26,91.4,9,27.5%,29,83.1%,6,21.5,8,18.4,10,113.8
Oklahoma City,29,105.9,24,93.2,29,21.4%,28,82.9%,29,13.0,29,12.6,26,101.5
Orlando,28,106.3,29,88.5,17,25.9%,13,79.9%,14,19.7,9,18.3,20,105.0
Philadelphia,13,112.8,18,95.4,7,27.6%,6,79.0%,3,21.6,3,19.4,16,107.2
Phoenix,10,113.9,10,97.9,23,24.0%,24,82.4%,8,21.3,22,15.3,1,136.1
Portland,5,117.7,7,99.9,14,26.8%,21,81.4%,7,21.4,13,17.7,7,117.9
Sacramento,12,113.1,9,98.6,10,27.3%,12,79.8%,22,17.8,12,17.8,30,97.2
San Antonio,19,111.1,14,96.5,26,22.5%,16,80.7%,26,15.1,24,14.9,28,99.4
Toronto,9,114.2,12,97.2,19,25.5%,4,78.8%,24,17.7,23,15.0,9,115.2
Utah,3,118.9,5,101.4,1,30.5%,14,80.0%,11,20.8,5,19.3,21,104.0
Washington,22,109.4,21,94.4,20,25.1%,3,78.5%,23,17.7,21,15.4,11,113.4
